,Symbol,Market Cap,P/E Ratio,Dividend Yield,Beta
0,JEPI,,24.917973,,
1,PFE,151277240320,72.4054,0.0618,0.557
2,NYCB,2642761472,1.1296296,0.057800002,0.949
3,KO,256332595200,24.064777,0.0326,0.591
4,PEP,224183271424,24.90229,0.031,0.534
5,MPW,2659520000,,0.19510001,1.208
6,VZ,166194790400,14.374545,0.066599995,0.384
7,ENB,75883569152,17.08134,0.0769,0.881
8,UTF,2151114752,,0.0834,1.015
9,SLG,3295004672,,0.059299998,1.672
10,IUSB,,,,
11,IGSB,,,,
12,DE,104473329664,10.935898,0.016,1.033
13,OSK,7458446848,12.557268,0.0165,1.278
14,ORCL,314861322240,31.640884,0.0143,0.994
15,WTFC,5997901312,10.18476,0.018099999,1.206
16,FANG,32621897728,10.542676,0.0448,1.912
17,CNQ,78418247680,13.112728,0.0398,1.983
18,^GSPC,,,,
19,ISNPY,61829902336,8.095617,0.0747,1.331
20,ESEA,264580688,2.2506053,0.063,0.904
21,AXAHY,81686929408,11.587859,0.0521,1.237
22,NLCP,349599904,14.295653,0.097799994,0.942
23,SUN,5361184256,17.39726,0.0525,1.286
24,IIPR,2724077568,16.738302,0.0747,1.511
25,SPKKY,5576712704,20.493334,0.0625,0.188
26,BBSEY,13205491712,8.349999,0.0866,0.638
27,GPN,33298124800,34.236076,0.0078,0.968
28,BP,102957744128,7.0737863,0.0468,0.539
29,EG,15942737920,6.1056657,0.0189,0.551
30,DE,104473329664,10.935898,0.016,1.033
31,OSK,7458446848,12.557268,0.0165,1.278
32,ORCL,314861322240,31.640884,0.0143,0.994
33,WTFC,5997901312,10.18476,0.018099999,1.206
34,FANG,32621897728,10.542676,0.0448,1.912
35,CNQ,78418247680,13.112728,0.0398,1.983
36,BNL,2804260096,17.710844,0.077199996,1.105
37,NTRS,16780656640,16.125984,0.0369,1.134
38,MO,73271762944,9.091904,0.0946,0.68
39,O,44985118720,41.46032,0.059,0.925
40,RTX,120144453632,40.60538,0.026099999,0.611
41,SCHD,,14.939622,,
42,FDVV,,11.369001,,
43,EPD,60927827968,11.150794,0.0716,0.983
44,GLP,1619130496,12.678191,0.0582,1.364
45,JEPQ,,33.504734,,
46,CSWC,1050458112,10.444445,0.1041,1.248
47,CTSH,38562840576,18.39905,0.0156,1.073
